Nom;x;y;rayon
Antenne1;1021203;6750516;875
Antenne2;1025505;6744661;1077
Antenne3;1024830;6744347;543
Antenne4;1022326;6749854;478
Antenne5;1023360;6746484;611
Antenne6;1028149;6744913;1323
Antenne7;1028749;6748286;578
Antenne8;1026346;6744031;806
Antenne9;1024104;6750376;1388
Antenne10;1022200;6744452;492
Antenne11;1024145;6748188;1406
Antenne12;1021757;6746500;1385
Antenne13;1025347;6746769;1476
Antenne14;1025069;6747722;979
Antenne15;1023366;6749827;1030
Antenne16;1023714;6749519;730
Antenne17;1022667;6749387;557
Antenne18;1024261;6750968;1493
Antenne19;1027038;6747419;582
Antenne20;1028681;6749044;1177
Antenne21;1022805;6749842;965
Antenne22;1022915;6745546;1468
Antenne23;1025484;6744284;209
Antenne24;1027937;6746687;1022
Antenne25;1022322;6744036;816
Antenne26;1026678;6745795;265
Antenne27;1027504;6746922;691
Antenne28;1026642;6745520;1470
Antenne29;1024830;6748753;277
Antenne30;1021029;6750312;864
